title,abbrev_title
Dermatology : international journal for clinical and investigative dermatology,Dermatology
Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,Clin Infect Dis
The Annals of pharmacotherapy,Ann Pharmacother
Microscopy research and technique,Microsc Res Tech
Journal for healthcare quality : official publication of the National Association for Healthcare Quality,J Healthc Qual
Developmental dynamics : an official publication of the American Association of Anatomists,Dev Dyn
Molecular biology of the cell,Mol Biol Cell
Chaos,Chaos
Mycorrhiza,Mycorrhiza
Ecological applications : a publication of the Ecological Society of America,Ecol Appl
Bioresource technology,Bioresour Technol
Health promotion journal of Australia : official journal of Australian Association of Health Promotion Professionals,Health Promot J Austr
Australasian psychiatry : bulletin of Royal Australian and New Zealand College of Psychiatrists,Australas Psychiatry
Journal of epidemiology,J Epidemiol
Journal of the College of Physicians and Surgeons--Pakistan : JCPSP,J Coll Physicians Surg Pak
Surgical technology international,Surg Technol Int
Fish & shellfish immunology,Fish Shellfish Immunol
Journal of microbiology and biotechnology,J Microbiol Biotechnol
Journal de mycologie médicale,J Mycol Med
Acta clinica Croatica,Acta Clin Croat
Indoor air,Indoor Air
Criminal behaviour and mental health : CBMH,Crim Behav Ment Health
Torture : quarterly journal on rehabilitation of torture victims and prevention of torture,Torture
Progrès en urologie : journal de l'Association française d'urologie et de la Société française d'urologie,Prog Urol
Journal of tissue viability,J Tissue Viability
Romanian journal of internal medicine = Revue roumaine de médecine interne,Rom J Intern Med
European journal of cancer care,Eur J Cancer Care (Engl)
Transfusion medicine,Transfus Med
European journal of cancer prevention : the official journal of the European Cancer Prevention Organisation (ECP),Eur J Cancer Prev
Journal of the Formosan Medical Association = Taiwan yi zhi,J Formos Med Assoc
Studies in health technology and informatics,Stud Health Technol Inform
Current topics in membranes,Curr Top Membr
Faraday discussions,Faraday Discuss
Journal of smooth muscle research = Nihon Heikatsukin Gakkai kikanshi,J Smooth Muscle Res
Neuroimaging clinics of North America,Neuroimaging Clin N Am
Transgenic research,Transgenic Res
The Plant journal : for cell and molecular biology,Plant J
Paediatric anaesthesia,Paediatr Anaesth
The Journal of school nursing : the official publication of the National Association of School Nurses,J Sch Nurs
European journal of dermatology : EJD,Eur J Dermatol
European journal of public health,Eur J Public Health
Lupus,Lupus
The International journal of pharmacy practice,Int J Pharm Pract
Seminars in radiation oncology,Semin Radiat Oncol
Journal of occupational rehabilitation,J Occup Rehabil
Gastrointestinal endoscopy clinics of North America,Gastrointest Endosc Clin N Am
Qualitative health research,Qual Health Res
Journal of fluorescence,J Fluoresc
Journal of back and musculoskeletal rehabilitation,J Back Musculoskelet Rehabil
Journal of nursing care quality,J Nurs Care Qual
Gene expression,Gene Expr
Current opinion in urology,Curr Opin Urol
"Cancer epidemiology, biomarkers & prevention : a publication of the American Association for Cancer Research, cosponsored by the American Society of Preventive Oncology",Cancer Epidemiol Biomarkers Prev
Trends in cell biology,Trends Cell Biol
Journal of biopharmaceutical statistics,J Biopharm Stat
International journal of obstetric anesthesia,Int J Obstet Anesth
Hip international : the journal of clinical and experimental research on hip pathology and therapy,Hip Int
Amino acids,Amino Acids
Acta diabetologica,Acta Diabetol
Cardiology in the young,Cardiol Young
American journal of audiology,Am J Audiol
European radiology,Eur Radiol
American journal of speech-language pathology,Am J Speech Lang Pathol
Journal of physiology and pharmacology : an official journal of the Polish Physiological Society,J Physiol Pharmacol
NeuroRehabilitation,NeuroRehabilitation
"Cellular physiology and biochemistry : international journal of experimental cellular physiology, biochemistry, and pharmacology",Cell Physiol Biochem
Journal of renal nutrition : the official journal of the Council on Renal Nutrition of the National Kidney Foundation,J Ren Nutr
Neuropsychological rehabilitation,Neuropsychol Rehabil
Inflammopharmacology,Inflammopharmacology
Chinese medical sciences journal = Chung-kuo i hsüeh k'o hsüeh tsa chih,Chin Med Sci J
Reviews in medical virology,Rev Med Virol
Physiological research,Physiol Res
Endocrine regulations,Endocr Regul
International journal of antimicrobial agents,Int J Antimicrob Agents
European psychiatry : the journal of the Association of European Psychiatrists,Eur Psychiatry
Journal of stroke and cerebrovascular diseases : the official journal of National Stroke Association,J Stroke Cerebrovasc Dis
International journal of hematology,Int J Hematol
International journal of gynecological cancer : official journal of the International Gynecological Cancer Society,Int J Gynecol Cancer
Scandinavian journal of medicine & science in sports,Scand J Med Sci Sports
"Nutrition, metabolism, and cardiovascular diseases : NMCD",Nutr Metab Cardiovasc Dis
Neuromuscular disorders : NMD,Neuromuscul Disord
International journal of methods in psychiatric research,Int J Methods Psychiatr Res
European respiratory review : an official journal of the European Respiratory Society,Eur Respir Rev
Current opinion in neurobiology,Curr Opin Neurobiol
Current opinion in genetics & development,Curr Opin Genet Dev
Psychotherapy research : journal of the Society for Psychotherapy Research,Psychother Res
Journal of long-term effects of medical implants,J Long Term Eff Med Implants
Journal of biomolecular NMR,J Biomol NMR
European journal of ophthalmology,Eur J Ophthalmol
Cerebral cortex,Cereb Cortex
Journal of cardiothoracic and vascular anesthesia,J Cardiothorac Vasc Anesth
European journal of pharmaceutics and biopharmaceutics : official journal of Arbeitsgemeinschaft für Pharmazeutische Verfahrenstechnik e.V,Eur J Pharm Biopharm
Melanoma research,Melanoma Res
The Foot,Foot (Edinb)
"Anästhesiologie, Intensivmedizin, Notfallmedizin, Schmerztherapie : AINS",Anasthesiol Intensivmed Notfallmed Schmerzther
Kennedy Institute of Ethics journal,Kennedy Inst Ethics J
Journal of research on adolescence : the official journal of the Society for Research on Adolescence,J Res Adolesc
Journal of electromyography and kinesiology : official journal of the International Society of Electrophysiological Kinesiology,J Electromyogr Kinesiol
Ethnicity & disease,Ethn Dis
Ultrasound in obstetrics & gynecology : the official journal of the International Society of Ultrasound in Obstetrics and Gynecology,Ultrasound Obstet Gynecol
Trends in cardiovascular medicine,Trends Cardiovasc Med
Hippocampus,Hippocampus
Journal of psychiatry & neuroscience : JPN,J Psychiatry Neurosci
Journal of investigational allergology & clinical immunology,J Investig Allergol Clin Immunol
Current opinion in structural biology,Curr Opin Struct Biol
Current biology : CB,Curr Biol
International journal of paediatric dentistry,Int J Paediatr Dent
Biotechnic & histochemistry : official publication of the Biological Stain Commission,Biotech Histochem
Bioorganic & medicinal chemistry letters,Bioorg Med Chem Lett
Annals of hematology,Ann Hematol
Journal of addictive diseases,J Addict Dis
Obesity surgery,Obes Surg
International journal of environmental health research,Int J Environ Health Res
Clinical autonomic research : official journal of the Clinical Autonomic Research Society,Clin Auton Res
Journal of magnetic resonance imaging : JMRI,J Magn Reson Imaging
The Journal of veterinary medical science,J Vet Med Sci
European journal of pediatric surgery : official journal of Austrian Association of Pediatric Surgery ... [et al] = Zeitschrift für Kinderchirurgie,Eur J Pediatr Surg
Cell proliferation,Cell Prolif
Journal of vestibular research : equilibrium & orientation,J Vestib Res
Bio-medical materials and engineering,Biomed Mater Eng
Clinical journal of sport medicine : official journal of the Canadian Academy of Sport Medicine,Clin J Sport Med
Journal of neuroimaging : official journal of the American Society of Neuroimaging,J Neuroimaging
The Journal of heart and lung transplantation : the official publication of the International Society for Heart Transplantation,J Heart Lung Transplant
The Cleft palate-craniofacial journal : official publication of the American Cleft Palate-Craniofacial Association,Cleft Palate Craniofac J
The Journal of adolescent health : official publication of the Society for Adolescent Medicine,J Adolesc Health
Drugs & aging,Drugs Aging
Mammalian genome : official journal of the International Mammalian Genome Society,Mamm Genome
Cerebrovascular diseases,Cerebrovasc Dis
Psychiatry research. Neuroimaging,Psychiatry Res Neuroimaging
Psychiatrikē = Psychiatriki,Psychiatriki
Cuadernos de bioética : revista oficial de la Asociación Española de Bioética y Ética Médica,Cuad Bioet
IEEE ... International Conference on Rehabilitation Robotics : [proceedings],IEEE Int Conf Rehabil Robot
Proceedings. Biological sciences,Proc Biol Sci
Nanotechnology,Nanotechnology
"Daru : journal of Faculty of Pharmacy, Tehran University of Medical Sciences",Daru
Brazilian journal of microbiology : [publication of the Brazilian Society for Microbiology],Braz J Microbiol
Genes and immunity,Genes Immun
The Cochrane database of systematic reviews,Cochrane Database Syst Rev
Revista española de patología : publicación oficial de la Sociedad Española de Anatomía Patológica y de la Sociedad Española de Citología,Rev Esp Patol
Environmental technology,Environ Technol
The Egyptian journal of immunology,Egypt J Immunol
British journal of community nursing,Br J Community Nurs
Current opinion in organ transplantation,Curr Opin Organ Transplant
Cognitive neuropsychiatry,Cogn Neuropsychiatry
Zhonghua gan zang bing za zhi = Zhonghua ganzangbing zazhi = Chinese journal of hepatology,Zhonghua Gan Zang Bing Za Zhi
Techniques in coloproctology,Tech Coloproctol
Molecules and cells,Mol Cells
Malawi medical journal : the journal of Medical Association of Malawi,Malawi Med J
Farmacia hospitalaria : órgano oficial de expresión científica de la Sociedad Española de Farmacia Hospitalaria,Farm Hosp
Vertex : revista argentina de psiquiatriá,Vertex
Network : computation in neural systems,Network
Methods : a companion to Methods in enzymology,Methods
Journal of gambling studies,J Gambl Stud
Türk psikiyatri dergisi = Turkish journal of psychiatry,Turk Psikiyatri Derg
Herzschrittmachertherapie & Elektrophysiologie,Herzschrittmacherther Elektrophysiol
Cell research,Cell Res
Revista iberoamericana de micología,Rev Iberoam Micol
Zhongguo xiu fu chong jian wai ke za zhi = Zhongguo xiufu chongjian waike zazhi = Chinese journal of reparative and reconstructive surgery,Zhongguo Xiu Fu Chong Jian Wai Ke Za Zhi
Ying yong sheng tai xue bao = The journal of applied ecology,Ying Yong Sheng Tai Xue Bao
Brain pathology,Brain Pathol
Brazilian dental journal,Braz Dent J
Chirurgia,Chirurgia (Bucur)
Platelets,Platelets
"Work : a journal of prevention, assessment, and rehabilitation",Work
Journal of vascular and interventional radiology : JVIR,J Vasc Interv Radiol
Phytochemical analysis : PCA,Phytochem Anal
Pediatric neurosurgery,Pediatr Neurosurg
Journal of the American Academy of Audiology,J Am Acad Audiol
The Journal of clinical ethics,J Clin Ethics
Romanian journal of morphology and embryology = Revue roumaine de morphologie et embryologie,Rom J Morphol Embryol
European neuropsychopharmacology : the journal of the European College of Neuropsychopharmacology,Eur Neuropsychopharmacol
Fetal diagnosis and therapy,Fetal Diagn Ther
Psychiatric genetics,Psychiatr Genet
Pediatric allergy and immunology : official publication of the European Society of Pediatric Allergy and Immunology,Pediatr Allergy Immunol
Clinical oral implants research,Clin Oral Implants Res
Journal of child and adolescent psychopharmacology,J Child Adolesc Psychopharmacol
Thyroid : official journal of the American Thyroid Association,Thyroid
Glycobiology,Glycobiology
Journal of health care for the poor and underserved,J Health Care Poor Underserved
European archives of psychiatry and clinical neuroscience,Eur Arch Psychiatry Clin Neurosci
Physical medicine and rehabilitation clinics of North America,Phys Med Rehabil Clin N Am
Blood coagulation & fibrinolysis : an international journal in haemostasis and thrombosis,Blood Coagul Fibrinolysis
Journal of basic and clinical physiology and pharmacology,J Basic Clin Physiol Pharmacol
Protein expression and purification,Protein Expr Purif
International journal of legal medicine,Int J Legal Med
Women's health issues : official publication of the Jacobs Institute of Women's Health,Womens Health Issues
New solutions : a journal of environmental and occupational health policy : NS,New Solut
Neuroreport,Neuroreport
The International journal of risk & safety in medicine,Int J Risk Saf Med
European cytokine network,Eur Cytokine Netw
Cancer causes & control : CCC,Cancer Causes Control
Biodegradation,Biodegradation
Anti-cancer drugs,Anticancer Drugs
Current opinion in biotechnology,Curr Opin Biotechnol
Osteoporosis international : a journal established as result of cooperation between the European Foundation for Osteoporosis and the National Osteoporosis Foundation of the USA,Osteoporos Int
Molecular and cellular neurosciences,Mol Cell Neurosci
The Journal of clinical pediatric dentistry,J Clin Pediatr Dent
Annals of epidemiology,Ann Epidemiol
Reproduction in domestic animals = Zuchthygiene,Reprod Domest Anim
Physiotherapy theory and practice,Physiother Theory Pract
The Journal of steroid biochemistry and molecular biology,J Steroid Biochem Mol Biol
Drug and alcohol review,Drug Alcohol Rev
Advances in pharmacology,Adv Pharmacol
20 century British history,20 Century Br Hist
Journal of vascular nursing : official publication of the Society for Peripheral Vascular Nursing,J Vasc Nurs
International journal of experimental pathology,Int J Exp Pathol
Journal of the American Society of Nephrology : JASN,J Am Soc Nephrol
History of psychiatry,Hist Psychiatry
"Photodermatology, photoimmunology & photomedicine",Photodermatol Photoimmunol Photomed
Journal of materials science. Materials in medicine,J Mater Sci Mater Med
World journal of microbiology & biotechnology,World J Microbiol Biotechnol
Journal of dermatological science,J Dermatol Sci
Coronary artery disease,Coron Artery Dis
Animal biotechnology,Anim Biotechnol
Journal of the National Cancer Institute. Monographs,J Natl Cancer Inst Monogr
Journal of structural biology,J Struct Biol
Current opinion in ophthalmology,Curr Opin Ophthalmol
Journal of cardiovascular electrophysiology,J Cardiovasc Electrophysiol
Journal of the American Society for Mass Spectrometry,J Am Soc Mass Spectrom
The Journal of craniofacial surgery,J Craniofac Surg
Cytopathology : official journal of the British Society for Clinical Cytology,Cytopathology
Bioconjugate chemistry,Bioconjug Chem
Seminars in cancer biology,Semin Cancer Biol
The Journal of nutritional biochemistry,J Nutr Biochem
Human nature : an interdisciplinary biosocial perspective,Hum Nat
Current opinion in lipidology,Curr Opin Lipidol
Epidemiology,Epidemiology
Endocrine pathology,Endocr Pathol
Antiviral chemistry & chemotherapy,Antivir Chem Chemother
Neuropsychology review,Neuropsychol Rev
Human gene therapy,Hum Gene Ther
Health promotion international,Health Promot Int
The American journal of hospice & palliative care,Am J Hosp Palliat Care
Neurosurgery clinics of North America,Neurosurg Clin N Am
International journal of STD & AIDS,Int J STD AIDS
Annals of oncology : official journal of the European Society for Medical Oncology,Ann Oncol
Revista española de enfermedades digestivas : organo oficial de la Sociedad Española de Patología Digestiva,Rev Esp Enferm Dig
Psychological science,Psychol Sci
"Pathobiology : journal of immunopathology, molecular and cellular biology",Pathobiology
Critical reviews in eukaryotic gene expression,Crit Rev Eukaryot Gene Expr
Journal of paediatrics and child health,J Paediatr Child Health
European journal of cancer : official journal for European Organization for Research and Treatment of Cancer (EORTC) [and] European Association for Cancer Research (EACR),Eur J Cancer
The British journal of general practice : the journal of the Royal College of General Practitioners,Br J Gen Pract
Human & experimental toxicology,Hum Exp Toxicol
DNA and cell biology,DNA Cell Biol
Biologicals : journal of the International Association of Biological Standardization,Biologicals
Experimental physiology,Exp Physiol
European archives of oto-rhino-laryngology : official journal of the European Federation of Oto-Rhino-Laryngological Societies (EUFOS) : affiliated with the German Society for Oto-Rhino-Laryngology - Head and Neck Surgery,Eur Arch Otorhinolaryngol
Drug safety,Drug Saf
Biosensors & bioelectronics,Biosens Bioelectron
Psicothema,Psicothema
Journal of physics. Condensed matter : an Institute of Physics journal,J Phys Condens Matter
MMWR. Recommendations and reports : Morbidity and mortality weekly report. Recommendations and reports,MMWR Recomm Rep
Journal of environmental sciences (China),J Environ Sci (China)
Advances in physiology education,Adv Physiol Educ
American journal of physiology. Lung cellular and molecular physiology,Am J Physiol Lung Cell Mol Physiol
Advanced materials,Adv Mater
Journal of aquatic animal health,J Aquat Anim Health
Waste management,Waste Manag
Acta neuropsychiatrica,Acta Neuropsychiatr
Adicciones,Adicciones
Operative Orthopädie und Traumatologie,Oper Orthop Traumatol
Revista Brasileira de terapia intensiva,Rev Bras Ter Intensiva
Aǧrı : Ağrı (Algoloji) Derneği'nin Yayın organıdır = The journal of the Turkish Society of Algology,Agri
Veterinary dermatology,Vet Dermatol
Neural computation,Neural Comput
Psychiatria Danubina,Psychiatr Danub
Turkish neurosurgery,Turk Neurosurg
Journal of preventive medicine and hygiene,J Prev Med Hyg
The Plant cell,Plant Cell
Clínica e investigación en arteriosclerosis : publicación oficial de la Sociedad Española de Arteriosclerosis,Clin Investig Arterioscler
Indian journal of dental research : official publication of Indian Society for Dental Research,Indian J Dent Res
"Genetics, selection, evolution : GSE",Genet Sel Evol
Forensic science review,Forensic Sci Rev
The Journal of the Association of Nurses in AIDS Care : JANAC,J Assoc Nurses AIDS Care
Digestive endoscopy : official journal of the Japan Gastroenterological Endoscopy Society,Dig Endosc
Accountability in research,Account Res
International journal of neural systems,Int J Neural Syst
The International journal on drug policy,Int J Drug Policy
Behavioural pharmacology,Behav Pharmacol
Health reports,Health Rep
"Journal of veterinary diagnostic investigation : official publication of the American Association of Veterinary Laboratory Diagnosticians, Inc",J Vet Diagn Invest
Archives of orthopaedic and trauma surgery,Arch Orthop Trauma Surg
Wounds : a compendium of clinical research and practice,Wounds
Seminars in immunology,Semin Immunol
International psychogeriatrics,Int Psychogeriatr
Leukemia & lymphoma,Leuk Lymphoma
Journal of biomaterials science.  Polymer edition,J Biomater Sci Polym Ed
International journal of impotence research,Int J Impot Res
"Genes, chromosomes & cancer",Genes Chromosomes Cancer
Current opinion in oncology,Curr Opin Oncol
Current opinion in obstetrics & gynecology,Curr Opin Obstet Gynecol
Lasers in surgery and medicine. Supplement,Lasers Surg Med Suppl
Restorative neurology and neuroscience,Restor Neurol Neurosci
Cytokine,Cytokine
European journal of internal medicine,Eur J Intern Med
Journal of molecular neuroscience : MN,J Mol Neurosci
Clinical oncology : a journal of the Royal College of Radiologists,Clin Oncol (R Coll Radiol)
AIDS education and prevention : official publication of the International Society for AIDS Education,AIDS Educ Prev
Annali di igiene : medicina preventiva e di comunità,Ann Ig
Trends in endocrinology and metabolism : TEM,Trends Endocrinol Metab
Oral and maxillofacial surgery clinics of North America,Oral Maxillofac Surg Clin North Am
Journal of transcultural nursing : official journal of the Transcultural Nursing Society,J Transcult Nurs
Advances in food and nutrition research,Adv Food Nutr Res
European journal of gastroenterology & hepatology,Eur J Gastroenterol Hepatol
Current opinion in rheumatology,Curr Opin Rheumatol
Current opinion in pediatrics,Curr Opin Pediatr
Journal of X-ray science and technology,J Xray Sci Technol
Prehospital and disaster medicine,Prehosp Disaster Med
The Journal of dermatological treatment,J Dermatolog Treat
International review of psychiatry,Int Rev Psychiatry
The European journal of neuroscience,Eur J Neurosci
Journal of pediatric oncology nursing : official journal of the Association of Pediatric Oncology Nurses,J Pediatr Oncol Nurs
Seminars in thoracic and cardiovascular surgery,Semin Thorac Cardiovasc Surg
The Journal of medical humanities,J Med Humanit
The International journal of developmental biology,Int J Dev Biol
HEC forum : an interdisciplinary journal on hospitals' ethical and legal issues,HEC Forum
Assistive technology : the official journal of RESNA,Assist Technol
American journal of respiratory cell and molecular biology,Am J Respir Cell Mol Biol
Academic psychiatry : the journal of the American Association of Directors of Psychiatric Residency Training and the Association for Academic Psychiatry,Acad Psychiatry
International immunology,Int Immunol
Gastroenterology nursing : the official journal of the Society of Gastroenterology Nurses and Associates,Gastroenterol Nurs
AIDS care,AIDS Care
Psychological assessment,Psychol Assess
Journal of zoo and wildlife medicine : official publication of the American Association of Zoo Veterinarians,J Zoo Wildl Med
Artificial intelligence in medicine,Artif Intell Med
American journal of human biology : the official journal of the Human Biology Council,Am J Hum Biol
Journal of aging & social policy,J Aging Soc Policy
Critical reviews in oncogenesis,Crit Rev Oncog
Journal of elder abuse & neglect,J Elder Abuse Negl
Chirality,Chirality
Zhongguo Zhong yao za zhi = Zhongguo zhongyao zazhi = China journal of Chinese materia medica,Zhongguo Zhong Yao Za Zhi
Journal of neuroendocrinology,J Neuroendocrinol
Current opinion in cell biology,Curr Opin Cell Biol
Burns : journal of the International Society for Burn Injuries,Burns
American journal of reproductive immunology : AJRI,Am J Reprod Immunol
Pediatric physical therapy : the official publication of the Section on Pediatrics of the American Physical Therapy Association,Pediatr Phys Ther
Journal of aging and health,J Aging Health
Critical care nursing clinics of North America,Crit Care Nurs Clin North Am
Laryngo- rhino- otologie,Laryngorhinootologie
Journal of oral pathology & medicine : official publication of the International Association of Oral Pathologists and the American Academy of Oral Pathology,J Oral Pathol Med
Clinical imaging,Clin Imaging
The Journal of neuropsychiatry and clinical neurosciences,J Neuropsychiatry Clin Neurosci
Annals of clinical psychiatry : official journal of the American Academy of Clinical Psychiatrists,Ann Clin Psychiatry
Teaching and learning in medicine,Teach Learn Med
Journal of neurosurgical anesthesiology,J Neurosurg Anesthesiol
Journal of cognitive neuroscience,J Cogn Neurosci
Inhalation toxicology,Inhal Toxicol
Development and psychopathology,Dev Psychopathol
Pediatric exercise science,Pediatr Exerc Sci
"Proceedings of the Institution of Mechanical Engineers. Part H, Journal of engineering in medicine",Proc Inst Mech Eng H
Health communication,Health Commun
Respiratory medicine,Respir Med
Research in microbiology,Res Microbiol
"Reproduction, fertility, and development",Reprod Fertil Dev
Pharmacological research,Pharmacol Res
Journal of chemotherapy,J Chemother
Pneumologie,Pneumologie
Clinical and experimental allergy : journal of the British Society for Allergy and Clinical Immunology,Clin Exp Allergy
Annals of medicine,Ann Med
Biomedical instrumentation & technology,Biomed Instrum Technol
Optometry and vision science : official publication of the American Academy of Optometry,Optom Vis Sci
Journal of internal medicine,J Intern Med
Cellular signalling,Cell Signal
Academic medicine : journal of the Association of American Medical Colleges,Acad Med
Critical reviews in biochemistry and molecular biology,Crit Rev Biochem Mol Biol
Stereotactic and functional neurosurgery,Stereotact Funct Neurosurg
Head & neck,Head Neck
Zhongguo xue xi chong bing fang zhi za zhi = Chinese journal of schistosomiasis control,Zhongguo Xue Xi Chong Bing Fang Zhi Za Zhi
Archives of disease in childhood. Fetal and neonatal edition,Arch Dis Child Fetal Neonatal Ed
Journal of bone and mineral metabolism,J Bone Miner Metab
Journal of veterinary dentistry,J Vet Dent
Pakistan journal of pharmaceutical sciences,Pak J Pharm Sci
Zhongguo yi liao qi xie za zhi = Chinese journal of medical instrumentation,Zhongguo Yi Liao Qi Xie Za Zhi
Klinická onkologie : casopis Ceské a Slovenské onkologické spolecnosti,Klin Onkol
Rinshō Biseibutsu Jinsoku Shindan Kenkyūkai shi = JARMAM : Journal of the Association for Rapid Method and Automation in Microbiology,Rinsho Biseibutshu Jinsoku Shindan Kenkyukai Shi
Santé publique : revue multidisciplinaire pour la recherche et l'action,Sante Publique
Biofouling,Biofouling
Nutrition research reviews,Nutr Res Rev
Revista española de quimioterapia : publicación oficial de la Sociedad Española de Quimioterapia,Rev Esp Quimioter
Molecular plant-microbe interactions : MPMI,Mol Plant Microbe Interact
Journal of digital imaging,J Digit Imaging
Journal of nephrology,J Nephrol
Journal of molecular recognition : JMR,J Mol Recognit
Journal of liposome research,J Liposome Res
The British journal of psychiatry. Supplement,Br J Psychiatry Suppl
Growth factors,Growth Factors
The Journal of invasive cardiology,J Invasive Cardiol
International journal of health care quality assurance,Int J Health Care Qual Assur
Journal of women & aging,J Women Aging
NMR in biomedicine,NMR Biomed
Behavioural neurology,Behav Neurol
Administration and policy in mental health,Adm Policy Ment Health
Topics in magnetic resonance imaging : TMRI,Top Magn Reson Imaging
Human cell,Hum Cell
Seminars in dialysis,Semin Dial
International journal of immunopathology and pharmacology,Int J Immunopathol Pharmacol
"Journal of Ayub Medical College, Abbottabad : JAMC",J Ayub Med Coll Abbottabad
The Canadian journal of nursing research = Revue canadienne de recherche en sciences infirmières,Can J Nurs Res
Biomedical and environmental sciences : BES,Biomed Environ Sci
Transplant international : official journal of the European Society for Organ Transplantation,Transpl Int
Journal of interventional cardiology,J Interv Cardiol
Pflege,Pflege
Veterinary and comparative orthopaedics and traumatology : V.C.O.T,Vet Comp Orthop Traumatol
Journal of human nutrition and dietetics : the official journal of the British Dietetic Association,J Hum Nutr Diet
The Journal of clinical dentistry,J Clin Dent
Somatosensory & motor research,Somatosens Mot Res
Peritoneal dialysis international : journal of the International Society for Peritoneal Dialysis,Perit Dial Int
Molecular reproduction and development,Mol Reprod Dev
Brain topography,Brain Topogr
Journal of molecular endocrinology,J Mol Endocrinol
Journal of dental hygiene : JDH,J Dent Hyg
Journal of chemical neuroanatomy,J Chem Neuroanat
Applied nursing research : ANR,Appl Nurs Res
"Medical principles and practice : international journal of the Kuwait University, Health Science Centre",Med Princ Pract
Magnesium research,Magnes Res
Journal of pharmacy practice,J Pharm Pract
The International journal of prosthodontics,Int J Prosthodont
Asian journal of surgery,Asian J Surg
Cirugía pediátrica : organo oficial de la Sociedad Española de Cirugía Pediátrica,Cir Pediatr
BMJ : British medical journal,BMJ
Irish journal of psychological medicine,Ir J Psychol Med
Current opinion in immunology,Curr Opin Immunol
Autoimmunity,Autoimmunity
Current opinion in anaesthesiology,Curr Opin Anaesthesiol
Journal of clinical anesthesia,J Clin Anesth
Journal of autoimmunity,J Autoimmun
APMIS.  Supplementum,APMIS Suppl
Journal of neurotrauma,J Neurotrauma
Health services management research,Health Serv Manage Res
Molecular carcinogenesis,Mol Carcinog
Current opinion in psychiatry,Curr Opin Psychiatry
Current opinion in infectious diseases,Curr Opin Infect Dis
Seminars in vascular surgery,Semin Vasc Surg
Visual neuroscience,Vis Neurosci
Ultrasound quarterly,Ultrasound Q
Neuron,Neuron
The National medical journal of India,Natl Med J India
Journal of traumatic stress,J Trauma Stress
Journal of sport & exercise psychology,J Sport Exerc Psychol
Journal of radiological protection : official journal of the Society for Radiological Protection,J Radiol Prot
Journal of investigative surgery : the official journal of the Academy of Surgical Research,J Invest Surg
International journal of radiation biology,Int J Radiat Biol
Diseases of the esophagus : official journal of the International Society for Diseases of the Esophagus,Dis Esophagus
Clinical anatomy : official journal of the American Association of Clinical Anatomists & the British Association of Clinical Anatomists,Clin Anat
Chemical research in toxicology,Chem Res Toxicol
BioFactors,Biofactors
Clinical microbiology reviews,Clin Microbiol Rev
Glia,Glia
American journal of dentistry,Am J Dent
"Modern pathology : an official journal of the United States and Canadian Academy of Pathology, Inc",Mod Pathol
Computerized medical imaging and graphics : the official journal of the Computerized Medical Imaging Society,Comput Med Imaging Graph
The Journal of continuing education in the health professions,J Contin Educ Health Prof
Journal of geriatric psychiatry and neurology,J Geriatr Psychiatry Neurol
Healthcare management forum,Healthc Manage Forum
Nursing science quarterly,Nurs Sci Q
Neural networks : the official journal of the International Neural Network Society,Neural Netw
Mycoses,Mycoses
Neurophysiologie clinique = Clinical neurophysiology,Neurophysiol Clin
Social psychiatry and psychiatric epidemiology,Soc Psychiatry Psychiatr Epidemiol
European journal of clinical microbiology & infectious diseases : official publication of the European Society of Clinical Microbiology,Eur J Clin Microbiol Infect Dis
Behavioral medicine,Behav Med
Schizophrenia research,Schizophr Res
Infection control and hospital epidemiology,Infect Control Hosp Epidemiol
European journal of clinical nutrition,Eur J Clin Nutr
American journal of physical medicine & rehabilitation,Am J Phys Med Rehabil
American journal of hypertension,Am J Hypertens
The European respiratory journal,Eur Respir J
"APMIS : acta pathologica, microbiologica, et immunologica Scandinavica",APMIS
"Prostaglandins, leukotrienes, and essential fatty acids",Prostaglandins Leukot Essent Fatty Acids
Journal of the American Society of Echocardiography : official publication of the American Society of Echocardiography,J Am Soc Echocardiogr
Journal of clinical epidemiology,J Clin Epidemiol
Canadian bulletin of medical history = Bulletin canadien d'histoire de la médecine,Can Bull Med Hist
Plant physiology and biochemistry : PPB,Plant Physiol Biochem
Conservation biology : the journal of the Society for Conservation Biology,Conserv Biol
Zhongguo gu shang = China journal of orthopaedics and traumatology,Zhongguo Gu Shang
Congenital anomalies,Congenit Anom (Kyoto)
Physica medica : PM : an international journal devoted to the applications of physics to medicine and biology : official journal of the Italian Association of Biomedical Physics (AIFB),Phys Med
Pediatric pulmonology. Supplement,Pediatr Pulmonol Suppl
Nursing standard,Nurs Stand
European journal of protistology,Eur J Protistol
Journal of aging studies,J Aging Stud
Annals of nuclear medicine,Ann Nucl Med
Medical dosimetry : official journal of the American Association of Medical Dosimetrists,Med Dosim
Journal of psychopharmacology,J Psychopharmacol
Der Schmerz,Schmerz
Journal of anesthesia,J Anesth
Neuropsychopharmacology : official publication of the American College of Neuropsychopharmacology,Neuropsychopharmacology
Phytotherapy research : PTR,Phytother Res
Neuropsychology,Neuropsychology
Sportverletzung Sportschaden : Organ der Gesellschaft für Orthopädisch-Traumatologische Sportmedizin,Sportverletz Sportschaden
Science in context,Sci Context
Gaceta sanitaria,Gac Sanit
Molecular neurobiology,Mol Neurobiol
Journal of human hypertension,J Hum Hypertens
